hgnc	ens
SRSF8	ENSG00000271885
MTMR3	ENSG00000100330
MTRR	ENSG00000124275
MTDH	ENSG00000147649
MTFR1L	ENSG00000117640
MTMR14	ENSG00000163719
DLEU1	ENSG00000176124
CC2D2A	ENSG00000048342
MTAP	ENSG00000099810
MTX2	ENSG00000128654
SNURF	ENSG00000273173
MTFMT	ENSG00000103707
MTHFSD	ENSG00000103248
CBWD6	ENSG00000204790
PAGR1	ENSG00000263136
C2orf15	ENSG00000241962
CBWD1	ENSG00000172785
MTHFD1L	ENSG00000120254
MTHFD1	ENSG00000100714
SNHG3	ENSG00000242125
CYP51A1	ENSG00000001630
TOMM6	ENSG00000214736
MTCH1	ENSG00000137409
PYURF	ENSG00000145337
DUSP4	ENSG00000120875
RPS17	ENSG00000184779
MTPN	ENSG00000105887
MTCH2	ENSG00000109919
MTHFD2	ENSG00000065911
NOMO2	ENSG00000185164
NOMO3	ENSG00000103226
PSMA2	ENSG00000256646
MTA3	ENSG00000057935
TIAF1	ENSG00000221995
GPR89B	ENSG00000188092
DDX47	ENSG00000213782
BOLA2B	ENSG00000169627
PGAM4	ENSG00000226784
MTO1	ENSG00000135297
MTG1	ENSG00000148824
MBD5	ENSG00000204406
MTX1	ENSG00000173171
MTMR2	ENSG00000087053
MTERFD1	ENSG00000156469
MTFR1	ENSG00000066855
GTF2H2C	ENSG00000183474
C1QTNF6	ENSG00000133466
MTA2	ENSG00000149480
MTMR4	ENSG00000108389
RPS17L	ENSG00000182774
SERF1B	ENSG00000205572
