hgnc	ens
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
LYAR	ENSG00000145220
ZNF385D	ENSG00000151789
DPH3	ENSG00000154813
SOSTDC1	ENSG00000171243
C20orf27	ENSG00000101220
	ENSG00000240859
HMGB1P5	ENSG00000132967
TFIP11	ENSG00000100109
FAM20C	ENSG00000177706
P3H3	ENSG00000110811
TINF2	ENSG00000092330
WDR19	ENSG00000157796
FGFRL1	ENSG00000127418
SRRD	ENSG00000100104
GPR162	ENSG00000250510
NELFA	ENSG00000185049
DNAJB12	ENSG00000148719
RPS13	ENSG00000110700
GID8	ENSG00000101193
C20orf96	ENSG00000196476
DMTN	ENSG00000158856
ROCK2	ENSG00000134318
	ENSG00000277301
SLCO5A1	ENSG00000137571
NOL4L	ENSG00000197183
BSN	ENSG00000164061
	ENSG00000215146
CENPB	ENSG00000125817
ECE1	ENSG00000117298
CRACR2B	ENSG00000177685
MCM10	ENSG00000065328
ZFP69B	ENSG00000187801
PMS2P10	ENSG00000276840
DBNDD2	ENSG00000244274
B3GNT2	ENSG00000170340
SFTPD-AS1	ENSG00000273372
PMS2P6	ENSG00000174384
CEP135	ENSG00000174799
HAUS6	ENSG00000147874
TESK1	ENSG00000107140
EIF5	ENSG00000100664
FAM95B1	ENSG00000223839
SETBP1	ENSG00000152217
PRDM2	ENSG00000116731
PNPLA2	ENSG00000177666
	ENSG00000240240
CHST15	ENSG00000182022
SKA3	ENSG00000165480
NTRK2	ENSG00000148053
NUP205	ENSG00000155561
ACTR3C	ENSG00000106526
LYPLA2	ENSG00000011009
SH2D4A	ENSG00000104611
PPP1R9A	ENSG00000158528
RARRES2	ENSG00000106538
CD72	ENSG00000137101
KCNAB2	ENSG00000069424
PLAC8	ENSG00000145287
BEGAIN	ENSG00000183092
MRPL57	ENSG00000173141
SPI1	ENSG00000066336
ZBED6CL	ENSG00000188707
LRRC61	ENSG00000127399
TMEM38B	ENSG00000095209
RBM4B	ENSG00000173914
	ENSG00000260920
FOXJ3	ENSG00000198815
CCNYL2	ENSG00000182632
PRRT4	ENSG00000224940
	ENSG00000273598
SYS1-DBNDD2	ENSG00000254806
RBM14	ENSG00000239306
FAM162A	ENSG00000114023
AHDC1	ENSG00000126705
TADA2B	ENSG00000173011
PI15	ENSG00000137558
LINC00839	ENSG00000185904
CASS4	ENSG00000087589
TBC1D14	ENSG00000132405
COA5	ENSG00000183513
SYS1	ENSG00000204070
ZNF37BP	ENSG00000234420
RBM4	ENSG00000173933
PPP2R3A	ENSG00000073711
	ENSG00000278212
SNHG8	ENSG00000269893
MAFB	ENSG00000204103
	ENSG00000253706
ZNF500	ENSG00000103199
WDR5B	ENSG00000196981
SORT1	ENSG00000134243
ZFP69	ENSG00000187815
PRSS12	ENSG00000164099
FAAP20	ENSG00000162585
DDX50	ENSG00000107625
FCHSD2	ENSG00000137478
KLHL8	ENSG00000145332
CHD7	ENSG00000171316
IARS1	ENSG00000196305
ANKS3	ENSG00000168096
UBR5	ENSG00000104517
TRIM3	ENSG00000110171
ZNF621	ENSG00000172888
FAM111B	ENSG00000189057
YIPF1	ENSG00000058799
CCDC134	ENSG00000100147
TRIM73	ENSG00000178809
FAM111A	ENSG00000166801
	ENSG00000228033
NEDD8-MDP1	ENSG00000255526
	ENSG00000260626
STEAP3	ENSG00000115107
COQ2	ENSG00000173085
ZCCHC3	ENSG00000247315
DTWD1	ENSG00000104047
STAG3L1	ENSG00000205583
CCDC80	ENSG00000091986
PSMC6	ENSG00000100519
CCDC120	ENSG00000147144
PRKCZ	ENSG00000067606
ERP27	ENSG00000139055
ANAPC5	ENSG00000089053
SOX12	ENSG00000177732
RXYLT1	ENSG00000118600
POM121C	ENSG00000272391
FAM111A-DT	ENSG00000245571
DHDDS	ENSG00000117682
NRSN2-AS1	ENSG00000225377
NRSN2	ENSG00000125841
SYBU	ENSG00000147642
GSTM3	ENSG00000134202
LINC01684	ENSG00000237484
RSF1	ENSG00000048649
DZANK1	ENSG00000089091
NUGGC	ENSG00000189233
PABPC5	ENSG00000174740
ZBTB10	ENSG00000205189
	ENSG00000254802
	ENSG00000278784
MDP1	ENSG00000213920
ZNF33B	ENSG00000196693
GPR107	ENSG00000148358
NBDY	ENSG00000204272
	ENSG00000159239
MTHFD2	ENSG00000065911
LRRC17	ENSG00000128606
E2F6	ENSG00000169016
MPRIP	ENSG00000133030
SPIN3	ENSG00000204271
SLC25A17	ENSG00000100372
DPY19L2	ENSG00000177990
NSUN5P1	ENSG00000223705
	ENSG00000234327
ZNF232	ENSG00000167840
ARHGDIB	ENSG00000111348
PRPF38B	ENSG00000134186
IPO4	ENSG00000196497
PDGFA	ENSG00000197461
GFI1B	ENSG00000165702
PMS2P2	ENSG00000278416
	ENSG00000279088
TMEM51	ENSG00000171729
N4BP1	ENSG00000102921
CNDP2	ENSG00000133313
SREBF2-AS1	ENSG00000184068
FTH1P16	ENSG00000227376
PDXDC2P	ENSG00000255185
FAM217B	ENSG00000196227
C2orf81	ENSG00000284308
SREBF2	ENSG00000198911
COPS6	ENSG00000168090
TSBP1-AS1	ENSG00000225914
	ENSG00000260834
RBPMS2	ENSG00000166831
INPP5K	ENSG00000132376
ATG16L2	ENSG00000168010
	ENSG00000196696
FRG1GP	ENSG00000283023
TMEM51-AS1	ENSG00000175147
	ENSG00000280341
SLC1A3	ENSG00000079215
	ENSG00000279442
PODXL2	ENSG00000114631
SLC4A5	ENSG00000188687
ZNF311	ENSG00000197935
PPP1R3D	ENSG00000132825
SLC17A9	ENSG00000101194
SLC35D2	ENSG00000130958
CWC27	ENSG00000153015
KAZN	ENSG00000189337
KDELR3	ENSG00000100196
TSC1	ENSG00000165699
SNAPC4	ENSG00000165684
MYO18A	ENSG00000196535
GTF2IP4	ENSG00000233369
DDX17	ENSG00000100201
SORCS1	ENSG00000108018
PAXIP1-AS2	ENSG00000214106
BMP8A	ENSG00000183682
PPIEL	ENSG00000243970
HNRNPA2B1	ENSG00000122566
OVCA2	ENSG00000262664
PAXIP1	ENSG00000157212
	ENSG00000262533
FAM199X	ENSG00000123575
DPH1	ENSG00000108963
TMEM254	ENSG00000133678
ISLR2	ENSG00000167178
NECAB3	ENSG00000125967
PIK3C2A	ENSG00000011405
DARS-AS1	ENSG00000231890
MACO1	ENSG00000204178
NOTCH2	ENSG00000134250
PKLR	ENSG00000143627
	ENSG00000271806
SLC39A13	ENSG00000165915
RTF2	ENSG00000022277
DARS1	ENSG00000115866
ANKMY2	ENSG00000106524
RBM43	ENSG00000184898
TMEM17	ENSG00000186889
FAM3C2	ENSG00000174028
PMP22	ENSG00000109099
TUBAP2	ENSG00000214391
CRYBG3	ENSG00000080200
	ENSG00000261200
DKK3	ENSG00000050165
BAG4	ENSG00000156735
FERMT1	ENSG00000101311
CLK2	ENSG00000176444
