"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:4714","H1-0","H1.0 linker histone","H1FV,H1F0","","22q13.1","H1 histones"
"HGNC:4715","H1-1","H1.1 linker histone, cluster member","H1F1,HIST1H1A","","6p22.2","H1 histones"
"HGNC:4716","H1-2","H1.2 linker histone, cluster member","H1F2,HIST1H1C","","6p22.2","H1 histones"
"HGNC:4717","H1-3","H1.3 linker histone, cluster member","H1F3,HIST1H1D","","6p22.2","H1 histones"
"HGNC:4718","H1-4","H1.4 linker histone, cluster member","H1F4,HIST1H1E","","6p22.2","H1 histones"
"HGNC:4719","H1-5","H1.5 linker histone, cluster member","H1F5,HIST1H1B","","6p22.1","H1 histones"
"HGNC:4720","H1-6","H1.6 linker histone, cluster member","H1FT,HIST1H1T","","6p22.2","H1 histones"
"HGNC:24893","H1-7","H1.7 linker histone","H1FNT","","12q13.11","H1 histones"
"HGNC:18463","H1-8","H1.8 linker histone","H1FOO","","3q22.1","H1 histones"
"HGNC:30616","H1-9P","H1.9 linker histone, pseudogene","HILS1,H1-9","","17q21.33","H1 histones"
"HGNC:4722","H1-10","H1.10 linker histone","H1FX","","3q21.3","H1 histones"
"HGNC:19163","H1-12P","H1.12 linker histone, cluster member pseudogene","HIST1H1PS1","","6p22.2","H1 histones"
"HGNC:22516","H2AB1","H2A.B variant histone 1","H2AFB1","","Xq28","H2A histones"
"HGNC:18298","H2AB2","H2A.B variant histone 2","H2AFB2","","Xq28","H2A histones"
"HGNC:14455","H2AB3","H2A.B variant histone 3","H2AFB,H2AFB3","","Xq28","H2A histones"
"HGNC:18729","H2AC1","H2A clustered histone 1","HIST1H2AA","","6p22.2","H2A histones"
"HGNC:18720","H2AC2P","H2A clustered histone 2, pseudogene","HIST1H2APS1","","6p22.2","H2A histones"
"HGNC:18804","H2AC3P","H2A clustered histone 3, pseudogene","H2AFTP,HIST1H2APS2","","6p22.2","H2A histones"
"HGNC:4734","H2AC4","H2A clustered histone 4","H2AFM,HIST1H2AB","","6p22.2","H2A histones"
"HGNC:4728","H2AC5P","H2A clustered histone 5, pseudogene","H2AFFP,HIST1H2APS5","","6p22.2","H2A histones"
"HGNC:4733","H2AC6","H2A clustered histone 6","H2AFL,HIST1H2AC","","6p22.2","H2A histones"
"HGNC:4729","H2AC7","H2A clustered histone 7","H2AFG,HIST1H2AD","","6p22.2","H2A histones"
"HGNC:4724","H2AC8","H2A clustered histone 8","H2AFA,HIST1H2AE","","6p22.2","H2A histones"
"HGNC:18805","H2AC9P","H2A clustered histone 9, pseudogene","HIST1H2APS3","","6p22.2","H2A histones"
"HGNC:4732","H2AC10P","H2A clustered histone 10, pseudogene","H2AFK,H2AFKP,HIST1H2APS4","","6p22.2","H2A histones"
"HGNC:4737","H2AC11","H2A clustered histone 11","H2AFP,HIST1H2AG","","6p22.1","H2A histones"
"HGNC:13671","H2AC12","H2A clustered histone 12","HIST1H2AH","","6p22.1","H2A histones"
"HGNC:4725","H2AC13","H2A clustered histone 13","H2AFC,HIST1H2AI","","6p22.1","H2A histones"
"HGNC:4727","H2AC14","H2A clustered histone 14","H2AFE,HIST1H2AJ","","6p22.1","H2A histones"
"HGNC:4726","H2AC15","H2A clustered histone 15","H2AFD,HIST1H2AK","","6p22.1","H2A histones"
"HGNC:4730","H2AC16","H2A clustered histone 16","H2AFI,HIST1H2AL","","6p22.1","H2A histones"
"HGNC:4735","H2AC17","H2A clustered histone 17","H2AFN,HIST1H2AM","","6p22.1","H2A histones"
"HGNC:4736","H2AC18","H2A clustered histone 18","H2AFO,HIST2H2AA,HIST2H2AA3","","1q21.2","H2A histones"
"HGNC:29668","H2AC19","H2A clustered histone 19","HIST2H2AA4","","1q21.2","H2A histones"
"HGNC:4738","H2AC20","H2A clustered histone 20","H2A,H2AFQ,HIST2H2AC","","1q21.2","H2A histones"
"HGNC:20508","H2AC21","H2A clustered histone 21","HIST2H2AB","","1q21.2","H2A histones"
"HGNC:14456","H2AJ","H2A.J histone","H2AFJ","","12p12.3","H2A histones"
"HGNC:18417","H2AP","H2A.P histone","CXorf27,HYPM","","Xp11.4","H2A histones"
"HGNC:20507","H2AW","H2A.W histone","HIST3H2A","","1q42.13","H2A histones"
"HGNC:4739","H2AX","H2A.X variant histone","H2AFX","","11q23.3","H2A histones"
"HGNC:4741","H2AZ1","H2A.Z variant histone 1","H2AZ,H2AFZ","","4q23","H2A histones"
"HGNC:20664","H2AZ2","H2A.Z variant histone 2","H2AV,H2AFV","","7p13","H2A histones"
"HGNC:4740","MACROH2A1","macroH2A.1 histone","H2AFY","","5q31.1","H2A histones"
"HGNC:14453","MACROH2A2","macroH2A.2 histone","H2AFY2","","10q22.1","H2A histones"
"HGNC:18730","H2BC1","H2B clustered histone 1","HIST1H2BA","","6p22.2","H2B histones"
"HGNC:18719","H2BC2P","H2B clustered histone 2, pseudogene","HIST1H2BPS1","","6p22.2","H2B histones"
"HGNC:4751","H2BC3","H2B clustered histone 3","H2BFF,HIST1H2BB","","6p22.2","H2B histones"
"HGNC:4757","H2BC4","H2B clustered histone 4","H2BFL,HIST1H2BC","","6p22.2","H2B histones"
"HGNC:4747","H2BC5","H2B clustered histone 5","H2BFB,HIST1H2BD","","6p22.2","H2B histones"
"HGNC:4753","H2BC6","H2B clustered histone 6","H2BFH,HIST1H2BE","","6p22.2","H2B histones"
"HGNC:4752","H2BC7","H2B clustered histone 7","H2BFG,HIST1H2BF","","6p22.2","H2B histones"
"HGNC:4746","H2BC8","H2B clustered histone 8","H2BFA,HIST1H2BG","","6p22.2","H2B histones"
"HGNC:4755","H2BC9","H2B clustered histone 9","H2BFJ,HIST1H2BH","","6p22.2","H2B histones"
"HGNC:4756","H2BC10","H2B clustered histone 10","H2BFK,HIST1H2BI","","6p22.2","H2B histones"
"HGNC:4761","H2BC11","H2B clustered histone 11","H2BFR,HIST1H2BJ","","6p22.1","H2B histones"
"HGNC:13954","H2BC12","H2B clustered histone 12","H2BFT,HIST1H2BK","","6p22.1","H2B histones"
"HGNC:4748","H2BC13","H2B clustered histone 13","H2BFC,HIST1H2BL","","6p22.1","H2B histones"
"HGNC:4750","H2BC14","H2B clustered histone 14","H2BFE,HIST1H2BM","","6p22.1","H2B histones"
"HGNC:4749","H2BC15","H2B clustered histone 15","H2BFD,HIST1H2BN","","6p22.1","H2B histones"
"HGNC:4754","H2BC16P","H2B clustered histone 16, pseudogene","H2BFIP,HIST1H2BPS2","","6p22.1","H2B histones"
"HGNC:4758","H2BC17","H2B clustered histone 17","H2BFN,HIST1H2BO","","6p22.1","H2B histones"
"HGNC:24700","H2BC18","H2B clustered histone 18","HIST2H2BF","","1q21.2","H2B histones"
"HGNC:20517","H2BC19P","H2B clustered histone 19, pseudogene","H2BFO,HIST2H2BD","","1q21.2","H2B histones"
"HGNC:20516","H2BC20P","H2B clustered histone 20, pseudogene","HIST2H2BC","","1q21.2","H2B histones"
"HGNC:4760","H2BC21","H2B clustered histone 21","H2B,H2BFQ,HIST2H2BE","","1q21.2","H2B histones"
"HGNC:53833","H2BE1","H2B.E variant histone 1","","","7q36.1","H2B histones"
"HGNC:4762","H2BS1","H2B.S histone 1","H2BFS","","21q22.3","H2B histones"
"HGNC:20514","H2BU1","H2B.U histone 1","HIST3H2BB","","1q42.13","H2B histones"
"HGNC:20515","H2BU2P","H2B.U histone 2, pseudogene","HIST3H2BA","","1q42.13","H2B histones"
"HGNC:27252","H2BW1","H2B.W histone 1","H2BFWT","","Xq22.2","H2B histones"
"HGNC:27867","H2BW2","H2B.W histone 2","H2BFM,H2BM","","Xq22.2","H2B histones"
"HGNC:44390","H2BW3P","H2B.W histone 3, pseudogene","","","Xq22.2","H2B histones"
"HGNC:25757","H2BW4P","H2B.W histone 4, pseudogene","H2BFXP","","Xq22.2","H2B histones"
"HGNC:4766","H3C1","H3 clustered histone 1","H3FA,HIST1H3A","","6p22.2","H3 histones"
"HGNC:4776","H3C2","H3 clustered histone 2","H3FL,HIST1H3B","","6p22.2","H3 histones"
"HGNC:4768","H3C3","H3 clustered histone 3","H3FC,HIST1H3C","","6p22.2","H3 histones"
"HGNC:4767","H3C4","H3 clustered histone 4","H3FB,HIST1H3D","","6p22.2","H3 histones"
"HGNC:54427","H3C5P","H3 clustered histone 5, pseudogene","","","6p22.2","H3 histones"
"HGNC:4769","H3C6","H3 clustered histone 6","H3FD,HIST1H3E","","6p22.2","H3 histones"
"HGNC:4773","H3C7","H3 clustered histone 7","H3FI,HIST1H3F","","6p22.2","H3 histones"
"HGNC:4772","H3C8","H3 clustered histone 8","H3FH,HIST1H3G","","6p22.2","H3 histones"
"HGNC:18982","H3C9P","H3 clustered histone 9, pseudogene","HIST1H3PS1","","6p22.2","H3 histones"
"HGNC:4775","H3C10","H3 clustered histone 10","H3FK,HIST1H3H","","6p22.1","H3 histones"
"HGNC:4771","H3C11","H3 clustered histone 11","H3FF,HIST1H3I","","6p22.1","H3 histones"
"HGNC:4774","H3C12","H3 clustered histone 12","H3FJ,HIST1H3J","","6p22.1","H3 histones"
"HGNC:25311","H3C13","H3 clustered histone 13","HIST2H3D","","1q21.2","H3 histones"
"HGNC:20503","H3C14","H3 clustered histone 14","H3F2,H3FM,HIST2H3C","","1q21.2","H3 histones"
"HGNC:20505","H3C15","H3 clustered histone 15","HIST2H3A","","1q21.2","H3 histones"
"HGNC:43735","H3Y1","H3.Y histone 1","","","5p15.1","H3 histones"
"HGNC:43734","H3Y2","H3.Y histone 2","","","5p15.1","H3 histones"
"HGNC:1851","CENPA","centromere protein A","","","2p23.3","H3 histones"
"HGNC:32060","H3-2","H3.2 histone (putative)","HIST2H3PS2","","1q21.1","H3 histones"
"HGNC:4764","H3-3A","H3.3 histone A","H3F3,H3F3A","","1q42.12","H3 histones"
"HGNC:4765","H3-3B","H3.3 histone B","H3F3B","","17q25.1","H3 histones"
"HGNC:4778","H3-4","H3.4 histone","H3FT,HIST3H3","","1q42.13","H3 histones"
"HGNC:33164","H3-5","H3.5 histone","H3F3C","","12p11.21","H3 histones"
"HGNC:4781","H4C1","H4 clustered histone 1","H4FA,HIST1H4A","","6p22.2","H4 histones"
"HGNC:4789","H4C2","H4 clustered histone 2","H4FI,HIST1H4B","","6p22.2","H4 histones"
"HGNC:4787","H4C3","H4 clustered histone 3","H4FG,HIST1H4C","","6p22.2","H4 histones"
"HGNC:4782","H4C4","H4 clustered histone 4","H4FB,HIST1H4D","","6p22.2","H4 histones"
"HGNC:4790","H4C5","H4 clustered histone 5","H4FJ,HIST1H4E","","6p22.2","H4 histones"
"HGNC:4783","H4C6","H4 clustered histone 6","H4FC,HIST1H4F","","6p22.2","H4 histones"
"HGNC:4792","H4C7","H4 clustered histone 7","H4FL,HIST1H4G","","6p22.2","H4 histones"
"HGNC:4788","H4C8","H4 clustered histone 8","H4FH,HIST1H4H","","6p22.2","H4 histones"
"HGNC:4793","H4C9","H4 clustered histone 9","H4FM,HIST1H4I","","6p22.1","H4 histones"
"HGNC:4786","H4C10P","H4 clustered histone 10, pseudogene","H4FFP,HIST1H4PS1","","6p22.1","H4 histones"
"HGNC:4785","H4C11","H4 clustered histone 11","H4FE,HIST1H4J","","6p22.1","H4 histones"
"HGNC:4784","H4C12","H4 clustered histone 12","H4FD,HIST1H4K","","6p22.1","H4 histones"
"HGNC:4791","H4C13","H4 clustered histone 13","H4FK,HIST1H4L","","6p22.1","H4 histones"
"HGNC:4794","H4C14","H4 clustered histone 14","H4F2,H4FN,HIST2H4,H4/n,HIST2H4A","","1q21.2","H4 histones"
"HGNC:29607","H4C15","H4 clustered histone 15","HIST2H4B","","1q21.2","H4 histones"
"HGNC:20510","H4-16","H4 histone 16","HIST4H4","","12p12.3","H4 histones"
