HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol	Ensembl gene ID
HGNC:8	Approved	A2MP1		A2MP	ENSG00000256069
HGNC:18226	Approved	AACSP1		AACSL	ENSG00000250420
HGNC:50305	Approved	AADACP1			ENSG00000240602
HGNC:49894	Approved	AARS1P1		AARSP1	ENSG00000249038
HGNC:54994	Approved	AARSD1P1			ENSG00000234969
HGNC:31	Approved	ABCA11P	EST1133530	ABCA11	ENSG00000251595
HGNC:31	Approved	ABCA11P	FLJ14297	ABCA11	ENSG00000251595
HGNC:32972	Approved	ABCA17P			ENSG00000238098
HGNC:14114	Approved	ABCB10P1	M-ABC2	ABCB10P	ENSG00000274099
HGNC:14114	Approved	ABCB10P1	M-ABC2	ABCB10P2	ENSG00000274099
HGNC:14114	Approved	ABCB10P1	MABC2	ABCB10P	ENSG00000274099
HGNC:14114	Approved	ABCB10P1	MABC2	ABCB10P2	ENSG00000274099
HGNC:31129	Approved	ABCB10P3			ENSG00000261524
HGNC:31130	Approved	ABCB10P4			ENSG00000260053
HGNC:33352	Approved	ABCC6P1			ENSG00000256340
HGNC:33353	Approved	ABCC6P2			ENSG00000255277
HGNC:16022	Approved	ABCC13	PRED6		ENSG00000243064
HGNC:16022	Approved	ABCC13	C21orf73		ENSG00000243064
HGNC:16022	Approved	ABCC13	ABCC13P		ENSG00000243064
HGNC:62	Approved	ABCD1P1			
HGNC:63	Approved	ABCD1P2	bA453N3.6		ENSG00000215151
HGNC:64	Approved	ABCD1P3			ENSG00000261233
HGNC:65	Approved	ABCD1P4			ENSG00000225293
HGNC:42662	Approved	ABCD1P5			ENSG00000214330
HGNC:48841	Approved	ABCF2P1			ENSG00000242159
HGNC:48842	Approved	ABCF2P2			ENSG00000228769
HGNC:28394	Approved	ABHD17AP1	C1orf47	FAM108A2	ENSG00000198658
HGNC:28394	Approved	ABHD17AP1	C1orf47	ABHD17AP2	ENSG00000198658
HGNC:28394	Approved	ABHD17AP1	C1orf47	FAM108A3	ENSG00000198658
HGNC:28394	Approved	ABHD17AP1	C1orf47	FAM108A11P	ENSG00000198658
HGNC:28394	Approved	ABHD17AP1	C1orf47	FAM108A3P	ENSG00000198658
HGNC:34041	Approved	ABHD17AP3		FAM108A4	ENSG00000250536
HGNC:34041	Approved	ABHD17AP3		FAM108A4P	ENSG00000250536
HGNC:34042	Approved	ABHD17AP4		FAM108A5	ENSG00000229107
HGNC:34042	Approved	ABHD17AP4		FAM108A5P	ENSG00000229107
HGNC:34043	Approved	ABHD17AP5		FAM108A6	ENSG00000263366
HGNC:34043	Approved	ABHD17AP5		FAM108A6P	ENSG00000263366
HGNC:34044	Approved	ABHD17AP6		FAM108A7P	ENSG00000226981
HGNC:38508	Approved	ABHD17AP7		FAM108A8P	ENSG00000260864
HGNC:38509	Approved	ABHD17AP8		FAM108A9P	ENSG00000260540
HGNC:38510	Approved	ABHD17AP9		FAM108A10P	ENSG00000261536
HGNC:20035	Approved	ABI1P1		SSH3BP1P	ENSG00000271484
HGNC:20035	Approved	ABI1P1		ABI1P	ENSG00000271484
HGNC:39851	Approved	ABITRAMP1		FAM206BP	ENSG00000251106
HGNC:39557	Approved	ABT1P1			ENSG00000250496
HGNC:44365	Approved	ACE3P			ENSG00000224353
HGNC:54674	Approved	ACER2P1			ENSG00000180105
HGNC:21142	Approved	ACKR4P1	dJ509I19.4	CCRL1P	ENSG00000225415
HGNC:21142	Approved	ACKR4P1	dJ509I19.4	CCRL1P1	ENSG00000225415
HGNC:34504	Approved	ACNATP		BAATP1	ENSG00000227411
HGNC:54745	Approved	ACRP1			ENSG00000175509
HGNC:51295	Approved	ACSM5P1			ENSG00000260762
HGNC:134	Approved	ACTBP1			ENSG00000229145
HGNC:135	Approved	ACTBP2			ENSG00000213763
HGNC:136	Approved	ACTBP3			
HGNC:137	Approved	ACTBP4			ENSG00000286676
HGNC:139	Approved	ACTBP6			ENSG00000203413
HGNC:140	Approved	ACTBP7			ENSG00000185607
HGNC:141	Approved	ACTBP8	ACTBP2		ENSG00000220267
HGNC:142	Approved	ACTBP9			ENSG00000266920
HGNC:31819	Approved	ACTBP10			
HGNC:33971	Approved	ACTBP11			ENSG00000188460
HGNC:150	Approved	ACTBP12		ACTGP5	ENSG00000233125
HGNC:45086	Approved	ACTBP14			ENSG00000229001
HGNC:55065	Approved	ACTBP15			ENSG00000213857
HGNC:51491	Approved	ACTE1P			ENSG00000172900
HGNC:146	Approved	ACTG1P1		ACTGP1	ENSG00000178631
HGNC:146	Approved	ACTG1P1		ACT1GP1	ENSG00000178631
HGNC:147	Approved	ACTG1P2		ACTL2	ENSG00000229129
HGNC:147	Approved	ACTG1P2		ACTGP2	ENSG00000229129
HGNC:148	Approved	ACTG1P3		ACTGP3	ENSG00000215388
HGNC:149	Approved	ACTG1P4		ACTGP4	ENSG00000236085
HGNC:151	Approved	ACTG1P6		ACTGP6	
HGNC:152	Approved	ACTG1P7		ACTGP7	
HGNC:153	Approved	ACTG1P8		ACTGP8	
HGNC:154	Approved	ACTG1P9		ACTGP9	ENSG00000229349
HGNC:155	Approved	ACTG1P10		ACTL1	ENSG00000231340
HGNC:155	Approved	ACTG1P10		ACTGP10	ENSG00000231340
HGNC:37651	Approved	ACTG1P11			ENSG00000229465
HGNC:44496	Approved	ACTG1P12			ENSG00000226642
HGNC:49058	Approved	ACTG1P13			ENSG00000241305
HGNC:49751	Approved	ACTG1P14			ENSG00000230581
HGNC:51495	Approved	ACTG1P15			ENSG00000259904
HGNC:51496	Approved	ACTG1P16			ENSG00000260298
HGNC:51497	Approved	ACTG1P17			ENSG00000259315
HGNC:51498	Approved	ACTG1P18			ENSG00000218475
HGNC:51499	Approved	ACTG1P19			ENSG00000237999
HGNC:51500	Approved	ACTG1P20			ENSG00000241547
HGNC:51501	Approved	ACTG1P21			ENSG00000232672
HGNC:51502	Approved	ACTG1P22			ENSG00000271615
HGNC:51503	Approved	ACTG1P23			ENSG00000230362
HGNC:49661	Approved	ACTG1P24		POTENP	ENSG00000226359
HGNC:54872	Approved	ACTG1P25	AGPG		ENSG00000234996
HGNC:44626	Approved	ACTL11P		ACTBP13	ENSG00000234667
HGNC:44028	Approved	ACTN4P1			ENSG00000213493
HGNC:44032	Approved	ACTN4P2			ENSG00000214141
HGNC:51621	Approved	ACTP1			ENSG00000229890
HGNC:54703	Approved	ACTR1AP1			ENSG00000233370
HGNC:37724	Approved	ACTR3BP1			ENSG00000270242
HGNC:38677	Approved	ACTR3BP2	FKSG73		ENSG00000226481
HGNC:38678	Approved	ACTR3BP3			ENSG00000260327
HGNC:38681	Approved	ACTR3BP4			ENSG00000249283
HGNC:38682	Approved	ACTR3BP5			ENSG00000227264
HGNC:38683	Approved	ACTR3BP6			ENSG00000280263
HGNC:54971	Approved	ACTR3BP7			ENSG00000226444
HGNC:31820	Approved	ACTR3P1			
HGNC:38676	Approved	ACTR3P2			ENSG00000232267
HGNC:38679	Approved	ACTR3P3			ENSG00000242573
HGNC:44210	Approved	ACTR6P1			ENSG00000248915
HGNC:55127	Approved	ACTRT1P1			ENSG00000235239
HGNC:44550	Approved	ADAD1P1			
HGNC:44552	Approved	ADAD1P2			ENSG00000267511
HGNC:187	Approved	ADAM1A	FTNAP	ADAM1	ENSG00000229186
HGNC:187	Approved	ADAM1A	PH-30a	ADAM1	ENSG00000229186
HGNC:187	Approved	ADAM1A	Ftna	ADAM1	ENSG00000229186
HGNC:187	Approved	ADAM1A	ADAM1P	ADAM1	ENSG00000229186
HGNC:44366	Approved	ADAM1B			ENSG00000226469
HGNC:209	Approved	ADAM3A	ADAM3	CYRN1	ENSG00000197475
HGNC:209	Approved	ADAM3A	tMDCI	CYRN1	ENSG00000197475
HGNC:210	Approved	ADAM3B		CYRN2	ENSG00000260089
HGNC:212	Approved	ADAM5	tMDCII	ADAM5P	ENSG00000196115
HGNC:213	Approved	ADAM6	tMDCIV	C14orf96	ENSG00000271968
HGNC:20102	Approved	ADAM20P1		C14orf55	ENSG00000259158
HGNC:43901	Approved	ADAM20P2			ENSG00000248574
HGNC:43902	Approved	ADAM20P3			ENSG00000249162
HGNC:19822	Approved	ADAM21P1		ADAM21P	ENSG00000235812
HGNC:203	Approved	ADAM24P			ENSG00000214607
HGNC:49407	Approved	ADAMTS7P1		ADAMTS7P2	ENSG00000274376
HGNC:49409	Approved	ADAMTS7P3			ENSG00000261143
HGNC:49410	Approved	ADAMTS7P4			ENSG00000218052
HGNC:44143	Approved	ADCY10P1			ENSG00000161912
HGNC:19240	Approved	ADGRE4P	PGR16	GPR127	ENSG00000268758
HGNC:19240	Approved	ADGRE4P	PGR16	EMR4	ENSG00000268758
HGNC:19240	Approved	ADGRE4P	PGR16	EMR4P	ENSG00000268758
HGNC:32922	Approved	ADGRF5P1		GPR116P1	ENSG00000227582
HGNC:32921	Approved	ADGRF5P2		GPR116P2	ENSG00000204818
HGNC:22976	Approved	ADH5P2			ENSG00000232676
HGNC:22991	Approved	ADH5P3			ENSG00000223694
HGNC:21377	Approved	ADH5P4	bA707M13.2	ADH5B	ENSG00000233859
HGNC:54523	Approved	ADH5P5			ENSG00000234865
