tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	266	0	live	AMELY	AMGL, AMGY	amelogenin Y-linked	amelogenin, Y isoform|amelogenin (Y chromosome)	Yp11.2	Y	NC_000024.10	6865918	6911752	minus	8	410000	
9606	Homo sapiens	9083	0	live	BPY2	BPY2A, VCY2, VCY2A	basic charge Y-linked 2	testis-specific basic protein Y 2|basic protein on Y chromosome 2|testis-specific basic protein on Y, 2|variable charge, Y-linked, 2|variably charged protein Y 2	Yq11.223	Y	NC_000024.10	22984263	23005465	plus	9	400013	
9606	Homo sapiens	442867	0	live	BPY2B	VCY2B	basic charge Y-linked 2B	testis-specific basic protein Y 2|basic charge, Y-linked 2|basic protein on Y chromosome 2|variable charge, Y-linked, 2|variably charged protein Y 2	Yq11.23	Y	NC_000024.10	24618004	24639207	plus	9		
9606	Homo sapiens	442868	0	live	BPY2C	VCY2C	basic charge Y-linked 2C	testis-specific basic protein Y 2|basic charge, Y-linked 2|basic protein on Y chromosome 2|variable charge, Y-linked, 2|variably charged protein Y 2	Yq11.23	Y	NC_000024.10	25030901	25052104	minus	9		
9606	Homo sapiens	9085	0	live	CDY1	CDYA, CDY1	chromodomain Y-linked 1	testis-specific chromodomain protein Y 1|chromodomain protein, Y chromosome, 1|chromodomain protein, Y-linked, 1|testis-specific chromodomain protein on Y	Yq11.23	Y	NC_000024.10	25622095	25625511	plus	3	400016	
9606	Homo sapiens	253175	0	live	CDY1B	CDY	chromodomain Y-linked 1B	testis-specific chromodomain protein Y 1|chromodomain protein, Y chromosome, 1, centromeric|chromodomain protein, Y-linked, 1B|testis-specific chromodomain protein on Y, centromeric	Yq11.23	Y	NC_000024.10	24044620	24048030	minus	3		
9606	Homo sapiens	9426	0	live	CDY2A	CDY, CDY2	chromodomain Y-linked 2A	testis-specific chromodomain protein Y 2|Y chromosome chromodomain protein 2A|chromodomain protein, Y chromosome, 2|chromodomain protein, Y-linked, 2A	Yq11.222	Y	NC_000024.10	18025787	18027746	plus	1	400018	
9606	Homo sapiens	203611	0	live	CDY2B	CDY	chromodomain Y-linked 2B	testis-specific chromodomain protein Y 2|Y chromosome chromodomain protein 2B|chromodomain protein, Y chromosome, 2 related|chromodomain protein, Y-linked, 2B|testis-specific chromodomain protein Y protein 2 related	Yq11.222	Y	NC_000024.10	17878260	17880220	minus	1		
9606	Homo sapiens	1617	0	live	DAZ1	DAZ, SPGY	deleted in azoospermia 1	deleted in azoospermia protein 1|testicular tissue protein Li 49	Yq11.223	Y	NC_000024.10	23129355	23199117	minus	28	400003	
9606	Homo sapiens	57055	0	live	DAZ2	pDP1678	deleted in azoospermia 2	deleted in azoospermia protein 2	Yq11.223	Y	NC_000024.10	23219457	23291356	plus	28	400026	
9606	Homo sapiens	57054	0	live	DAZ3	pDP1679	deleted in azoospermia 3	deleted in azoospermia protein 3	Yq11.23	Y	NC_000024.10	24763069	24813393	minus	19	400027	
9606	Homo sapiens	57135	0	live	DAZ4	pDP1680, pDP1681	deleted in azoospermia 4	deleted in azoospermia protein 4	Yq11.23	Y	NC_000024.10	24833806	24907040	plus	29	400048	
9606	Homo sapiens	8653	0	live	DDX3Y	DBY	DEAD-box helicase 3 Y-linked	ATP-dependent RNA helicase DDX3Y|DEAD (Asp-Glu-Ala-Asp) box helicase 3, Y-linked|DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked|DEAD box protein 3, Y-chromosomal|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide, Y chromosome	Yq11.221	Y	NC_000024.10	12903999	12920478	plus	19	400010	
9606	Homo sapiens	9086	0	live	EIF1AY	eIF-4C	eukaryotic translation initiation factor 1A Y-linked	eukaryotic translation initiation factor 1A, Y-chromosomal|eukaryotic translation initiation factor 1A, Y chromosome|eukaryotic translation initiation factor 4C	Yq11.223	Y	NC_000024.10	20575776	20593154	plus	7	400014	
9606	Homo sapiens	86614	0	live	HSFY1	HSF2L, HSFY	heat shock transcription factor Y-linked 1	heat shock transcription factor, Y-linked|heat shock transcription factor 2-like protein	Yq11.222	Y	NC_000024.10	18529678	18588963	plus	8	400029	
9606	Homo sapiens	159119	0	live	HSFY2	HSF2L, HSFY	heat shock transcription factor Y-linked 2	heat shock transcription factor, Y-linked|heat shock transcription factor 2-like protein	Yq11.222	Y	NC_000024.10	18731440	18790735	minus	8		
